protein1,protein2,sim
O43741,A0A075B6H9,0.1
Q9Y478,A0A075B6H9,0.1
Q86TB3,A0A075B6H9,0.4444444444444444
P15813,A0A075B6H9,0.3333333333333333
P10747,A0A075B6H9,0.42857142857142855
Q96L96,A0A075B6H9,0.4444444444444444
Q8IZF2,A0A075B6H9,0.3076923076923077
P06729,A0A075B6H9,0.42857142857142855
Q6UX41,A0A075B6H9,0.45454545454545453
P35613,A0A075B6H9,0.5
O75871,A0A075B6H9,0.8
P50895,A0A075B6H9,0.7142857142857143
Q8N126,A0A075B6H9,0.625
P20138,A0A075B6H9,0.8333333333333334
Q9BWV1,A0A075B6H9,0.36363636363636365
O00478,A0A075B6H9,0.4166666666666667
A0A0C4DH27,A0A075B6H9,0.8
Q9Y279,A0A075B6H9,0.625
Q13291,A0A075B6H9,0.5
A0A0K0K1B3,A0A075B6H9,0.8
Q01201,A0A075B6H9,0.058823529411764705
O95153,A0A075B6H9,0.08333333333333333
A6NNM3,A0A075B6H9,0.09090909090909091
Q9Y286,A0A075B6H9,0.8333333333333334
Q86YD3,A0A075B6H9,0.42857142857142855
Q9UPU3,A0A075B6H9,0.09090909090909091
P10586,A0A075B6H9,0.2857142857142857
P11465,A0A075B6H9,0.8333333333333334
A1KZ92,A0A075B6H9,0.23529411764705882
Q15772,A0A075B6H9,0.2857142857142857
Q9NQ25,A0A075B6H9,0.6
Q9BZZ2,A0A075B6H9,0.625
Q96A28,A0A075B6H9,0.6
Q7Z7G0,A0A075B6H9,0.14285714285714285
P03979,A0A075B6H9,0.8
Q8IWZ5,A0A075B6H9,0.08333333333333333
A0A5B9,A0A075B6H9,0.5
A0A0B4J1U4,A0A075B6H9,0.8
Q00887,A0A075B6H9,0.8333333333333334
P08922,A0A075B6H9,0.0625
Q9UQ74,A0A075B6H9,0.8333333333333334
Q9UQ72,A0A075B6H9,0.8333333333333334
Q13308,A0A075B6H9,0.36363636363636365
Q15262,A0A075B6H9,0.25
Q9UMZ3,A0A075B6H9,0.07692307692307693
Q96MS0,A0A075B6H9,0.4
P0CF51,A0A075B6H9,0.5
O76036,A0A075B6H9,0.6
Q96GW7,A0A075B6H9,0.35714285714285715
Q96LC7,A0A075B6H9,0.7142857142857143
P13611,A0A075B6H9,0.29411764705882354
P13765,A0A075B6H9,0.3
Q86SJ2,A0A075B6H9,0.3333333333333333
P08236,A0A075B6H9,0.07142857142857142
O75462,A0A075B6H9,0.25
O15033,A0A075B6H9,0.1111111111111111
P33681,A0A075B6H9,0.625
Q9UH73,A0A075B6H9,0.07142857142857142
Q496F6,A0A075B6H9,1.0
Q9HC73,A0A075B6H9,0.14285714285714285
P06731,A0A075B6H9,0.8333333333333334
P04234,A0A075B6H9,0.2222222222222222
A8K7I4,A0A075B6H9,0.1111111111111111
Q8TDQ1,A0A075B6H9,1.0
P01031,A0A075B6H9,0.045454545454545456
Q8NFZ8,A0A075B6H9,0.5555555555555556
Q7Z692,A0A075B6H9,0.6
P15812,A0A075B6H9,0.3333333333333333
Q9BZW8,A0A075B6H9,0.42857142857142855
Q6UXG8,A0A075B6H9,0.45454545454545453
P09693,A0A075B6H9,0.2222222222222222
Q6ZTR5,A0A075B6H9,0.14285714285714285
Q8TEP8,A0A075B6H9,0.16666666666666666
P13688,A0A075B6H9,0.7142857142857143
Q13410,A0A075B6H9,0.38461538461538464
Q01151,A0A075B6H9,1.0
P09564,A0A075B6H9,0.8333333333333334
P06126,A0A075B6H9,0.3333333333333333
A6NFU0,A0A075B6H9,0.6666666666666666
Q96P31,A0A075B6H9,0.5714285714285714
P11362,A0A075B6H9,0.23529411764705882
P0DOX7,A0A075B6H9,0.7142857142857143
P0CG04,A0A075B6H9,0.42857142857142855
P27930,A0A075B6H9,0.36363636363636365
Q5VV43,A0A075B6H9,0.07692307692307693
P06315,A0A075B6H9,0.8
Q96I82,A0A075B6H9,0.3333333333333333
Q8NHL6,A0A075B6H9,0.5714285714285714
P0DTW3,A0A075B6H9,0.6
P01743,A0A075B6H9,0.8
Q8NDA2,A0A075B6H9,0.29411764705882354
Q96S86,A0A075B6H9,0.625
Q96ID5,A0A075B6H9,1.0
Q8N9C0,A0A075B6H9,0.4
P05362,A0A075B6H9,0.375
Q8WX77,A0A075B6H9,0.3333333333333333
A0A075B6I0,A0A075B6H9,1.0
P01593,A0A075B6H9,1.0
Q8NFP4,A0A075B6H9,0.4
P0DTE1,A0A075B6H9,0.8
P01763,A0A075B6H9,0.8
A0A075B6R2,A0A075B6H9,0.8
Q95460,A0A075B6H9,0.2727272727272727
Q86YT9,A0A075B6H9,0.7142857142857143
Q8IZU9,A0A075B6H9,0.5714285714285714
P32004,A0A075B6H9,0.4
Q8N6C8,A0A075B6H9,0.5714285714285714
P01780,A0A075B6H9,0.8
A0A087WSY4,A0A075B6H9,0.8
P43632,A0A075B6H9,0.5
P01619,A0A075B6H9,1.0
A0A0C4DH26,A0A075B6H9,1.0
A0A0B4J2D9,A0A075B6H9,1.0
Q86WK6,A0A075B6H9,0.3333333333333333
P01889,A0A075B6H9,0.25
A0A0C4DH29,A0A075B6H9,0.8
Q5DX21,A0A075B6H9,0.7142857142857143
Q96J84,A0A075B6H9,0.5
A0A087WSX0,A0A075B6H9,1.0
Q13449,A0A075B6H9,0.5714285714285714
Q8WUT4,A0A075B6H9,0.1
Q30154,A0A075B6H9,0.3
Q96PL5,A0A075B6H9,0.45454545454545453
Q96AP7,A0A075B6H9,0.7142857142857143
P21333,A0A075B6H9,0.09090909090909091
O75015,A0A075B6H9,0.8
Q15486,A0A075B6H9,0.16666666666666666
Q9H7L2,A0A075B6H9,0.6666666666666666
A0A0C4DH73,A0A075B6H9,1.0
P0C6S8,A0A075B6H9,0.3333333333333333
A0A075B6J9,A0A075B6H9,1.0
Q5SQ64,A0A075B6H9,0.8333333333333334
P55082,A0A075B6H9,0.5
P36888,A0A075B6H9,0.21428571428571427
Q8WWV6,A0A075B6H9,1.0
P01871,A0A075B6H9,0.42857142857142855
Q14773,A0A075B6H9,0.2857142857142857
Q99665,A0A075B6H9,0.1111111111111111
Q9NP60,A0A075B6H9,0.36363636363636365
Q6UY18,A0A075B6H9,0.3333333333333333
P18627,A0A075B6H9,0.6666666666666666
A0A075B6R9,A0A075B6H9,0.8
A0A075B6J6,A0A075B6H9,1.0
A0A0G2JS06,A0A075B6H9,1.0
A0A0A0MRZ9,A0A075B6H9,1.0
Q13477,A0A075B6H9,0.5714285714285714
P31995,A0A075B6H9,0.6666666666666666
P51610,A0A075B6H9,0.09090909090909091
A0A0J9YX35,A0A075B6H9,0.8
P14616,A0A075B6H9,0.047619047619047616
P57087,A0A075B6H9,0.7142857142857143
Q14943,A0A075B6H9,0.5
P04440,A0A075B6H9,0.3
O60667,A0A075B6H9,0.8
Q8N441,A0A075B6H9,0.5714285714285714
P0DP03,A0A075B6H9,0.8
Q13478,A0A075B6H9,0.4444444444444444
P14784,A0A075B6H9,0.1111111111111111
Q86SU0,A0A075B6H9,0.3333333333333333
P0DOX3,A0A075B6H9,0.625
P12314,A0A075B6H9,0.5714285714285714
P12319,A0A075B6H9,0.6666666666666666
P06331,A0A075B6H9,0.8
P0DOY2,A0A075B6H9,0.42857142857142855
O95998,A0A075B6H9,0.5
Q08334,A0A075B6H9,0.125
P01599,A0A075B6H9,1.0
O75325,A0A075B6H9,0.36363636363636365
Q96NI6,A0A075B6H9,0.3076923076923077
P04217,A0A075B6H9,0.5714285714285714
P01768,A0A075B6H9,0.8
P0DP02,A0A075B6H9,0.8
O95256,A0A075B6H9,0.4444444444444444
O60229,A0A075B6H9,0.125
A0A0A0MS00,A0A075B6H9,0.8
P01705,A0A075B6H9,1.0
Q9NT99,A0A075B6H9,0.3076923076923077
Q9UJG1,A0A075B6H9,0.125
Q6UWV2,A0A075B6H9,0.7142857142857143
P01920,A0A075B6H9,0.3
P19235,A0A075B6H9,0.1
Q96KP1,A0A075B6H9,0.1111111111111111
P13747,A0A075B6H9,0.25
P78552,A0A075B6H9,0.1
P06312,A0A075B6H9,1.0
A0A0C4DH25,A0A075B6H9,1.0
A0A075B6H8,A0A075B6H9,0.8
P08581,A0A075B6H9,0.05
O14594,A0A075B6H9,0.3125
P80748,A0A075B6H9,1.0
A0A0B4J1Y8,A0A075B6H9,0.8333333333333334
A0A075B6J2,A0A075B6H9,1.0
A0A087WSY6,A0A075B6H9,1.0
Q6PJG9,A0A075B6H9,0.3076923076923077
P16284,A0A075B6H9,0.5714285714285714
O14522,A0A075B6H9,0.2
A0A075B6K6,A0A075B6H9,1.0
Q14596,A0A075B6H9,0.07692307692307693
Q96NY8,A0A075B6H9,0.625
Q92692,A0A075B6H9,0.7142857142857143
Q92859,A0A075B6H9,0.36363636363636365
P23471,A0A075B6H9,0.06666666666666667
Q96DL1,A0A075B6H9,0.14285714285714285
O75051,A0A075B6H9,0.05555555555555555
Q00889,A0A075B6H9,0.8333333333333334
Q00888,A0A075B6H9,0.8333333333333334
